1746,7941
3500,0637
2224,1824
2875,9515
2503,0404
64184,7163
2348,6612
1105,6195
2241,9842
32468,5632
3434,2751
2063,0531
1446,3298
2186,1496
1681,0937
1716,532
2399,0612
1474,1426
2886,9806
1852,5775
1628,4074
1847,8691
1654,3275
2126,2334
2589,6767
2972,006
2454,6512
14839,81
3265,1717
2762,286
2507,1134
3088,3687
34071,4573
2570,9371
775,6427
936,9068
2293,087
1933,7411
2913,3901
2908,0698
4284,7837
2109,3443
1820,6113
2110,984
2144,8332
2684,4859
2436,1728
32032,2206
3033,9869
1887,5433
2405,4304
2154,2379
1831,0568
2703,928
3348,0316
2510,7778
1161,0977
2575,1334
1231,3479
2901,4529
2899,4331
2474,787
2495,3358
6416,6807
2600,8478
16760,8204
1892,028
1713,7768
2878,0279
3241,683
1932,4196
1905,5553
2094,9036
2190,8774
1602,802
1875,2359
3171,9452
1408,4528
1578,3281
2982,7683
4002,0859
6245,2213
1979,5258
2146,7645
2427,7141
2530,1998
2411,2723
2497,8429
1918,9262
1725,1673
3100,1824
2607,3773
2527,6177
1621,1018
2056,0777
2697,7924
2615,5812
2289,4291
32011,7075
2067,042
2393,3987
3067,5775
2235,267
1839,226
2265,3041
2665,3605
1447,708
2360,609
2232,6796
32433,9754
3165,685
2870,7572
1442,565
33333,3356
2692,5984
2147,7126
2361,2068
2345,9389
3701,3799
5529,877
32616,6415
2005,723
3468,7289
1815,4231
2985,6611
2085,5375
1761,0094
3900,2315
8923,2857
1818,7027
2013,0067
3092,3785
1741,7141
2357,4338
1811,8911
23635,0138
2712,8241
3935,5545
2587,9277
2826,3577
2289,9723
2205,5673
2113,565
32387,6014
2435,8567
1446,1026
31773,9861
2389,2739
2060,6441
19833,0858
1792,9363
1816,6072
2513,2898
2652,594
1239,3518
3922,1783
7666,6522
2582,2752
2767,1267
27797,8227
2137,97
10441,8314
2311,9021
2572,26
1705,2697
2140,4809
2152,914
32438,2197
2115,4212
1125,0315
2331,1195
2340,8409
1977,4445
3703,463
1781,3119
3274,8482
2457,5614
1894,0609
3427,9317
2054,3442
2237,806
2389,304
1925,9608
2142,5831
2087,5501
2188,6149
2248,317
2597,4326
3630,8522
2195,2078
1935,3864
1662,1969
1664,9432
8298,0679
2237,9366
2115,8201
2452,382
2698,141
3420,7556
7354,416
1468,2313
1409,1443
2587,2659
2077,7296
3213,4983
2899,7527
2332,012
2855,0644
3249,8115
1676,8174
2372,2405
1735,3555
1549,5609
32715,8277
2641,5904
2703,1944
5320,7133
2507,393
32833,5926
2318,5693
2891,6801
2522,8007
1897,8193
22820,1477
2829,7308
2037,452
3519,6612
2781,5841
33166,6929
2107,0383
2417,9038
1401,0983
2759,9767
5799,8987
1712,3149
4114,6678
2268,1024
1732,8633
3987,1231
2833,6372
3256,6164
29695,6866
2409,0123
3603,3131
2377,1081
2776,4825
2972,5185
1985,1925
3133,4304
3050,6555
62135,3748
2460,8113
2995,9962
1958,3527
2709,0533
2408,228
2754,5386
2102,578
11706,7423
2825,7426
2599,7638
6369,6991
1962,5575
2692,5705
2118,1229
3014,3706
1690,842
2779,76
5789,1382
2362,9508
10449,8395
2887,795
2775,4442
7593,5269
3102,5362
1846,7249
31075,8967
2626,3619
2730,0512
2255,3752
2153,6345
2358,957
3141,9556
3145,4218
2798,0407
2159,5154
3406,3686
3073,659
2823,312
2479,1461
3233,1291
3290,6016
2291,6396
2368,2017
1747,8243
51254,8419
2364,1127
2503,2039
8962,2899
3514,2354
3051,743
1784,3466
2297,9083
1601,1369
1899,3273
2533,7721
3071,0454
2881,4307
1494,852
2985,0818
2227,1141
3250,1293
34863,0959
1651,7404
3118,4301
1571,5653
666,5832
15870,2129
4228,3928
2453,6175
1868,3404
31457,3377
1595,5105
4199,1758
2396,2381
2414,8436
2192,1391
31454,3766
2185,3122
20884,1996
2280,7149
2592,1321
2761,0154
1757,3911
2791,5762
2037,6321
1828,9656
2576,074
2704,7565
1732,4061
2061,2302
2860,1146
1133,3204
20336,5141
32700,7928
3911,2776
3057,9466
2348,0832
2767,8437
2781,2609
2133,5755
4016,9966
1755,022
2746,236
2152,4231
2994,1931
7933,7453
3170,8262
2961,1252
92955,4263
2354,9957
1785,0622
3161,7641
1702,5998
1347,6575
3604,1798
2034,4664
2908,0798
3008,0209
3081,6226
2775,3504
2700,3472
9852,7916
2939,3275
2582,1534
3214,8633
1857,4479
2086,8405
61311,4491
2064,8538
2626,605
2692,0633
1767,9336
1649,3048
3281,9801
1625,211
1937,5909
32106,478
1541,6518
2627,557
2009,4319
2900,5893
4658,6005
1996,5402
2144,2684
3865,4384
3090,8347
2254,8656
1334,4126
2712,8139
2357,6121
3177,5798
1941,6063
1923,0022
2602,1395
2091,5032
3089,4156
2588,4586
1913,2379
2021,0439
1998,2793
2521,9849
2422,6352
33733,5559
2554,0102
32244,1621
2390,3937
6029,7022
2073,9372
2080,4596
31506,8197
2118,2284
2604,4403
2107,2492
2398,8715
3350,6752
3761,6415
3352,9105
32434,5257
3312,6145
1725,5729
10709,9713
1845,0627
1529,1246
1887,0638
2561,1435
9940,2766
3211,3632
2646,2991
3448,8787
1143,894
2022,7401
1725,0371
1822,0896
1642,3711
1357,0484
1713,0135
1136,1838
2209,1885
3347,9962
1237,268
3857,5637
2436,2375
1321,2958
2837,7195
2934,5338
3083,3433
2915,6869
2811,1946
2593,7987
2251,8557
2321,5386
2734,4651
3774,576
2425,2413
30455,4879
1672,1661
2985,31
1727,7692
2075,9332
1814,7149
1934,4701
2197,161
2188,7143
2188,428
2121,5003
2010,1691
2146,2255
2014,9323
1807,3777
4381,7771
3259,9268
2342,1097
1895,3791
2827,8494
2878,9827
3767,0371
2683,0837
2240,6864
3130,9488
8564,5095
2324,7478
1190,0022
1841,3357
2454,7783
1932,501
1845,7259
2909,0848
2509,7483
1740,4641
2399,2176
2323,3155
2183,0692
2699,702
2615,2779
2887,6038
1634,3959
2000,8355
1920,2322
2230,9728
1795,8443
2132,4236
2068,7659
2115,8151
2265,8247
1969,3103
2642,6638
2596,3188
2050,6357
3176,2877
18006,2864
1997,919
2393,6847
1656,366
3012,679
2532,2687
2739,028
1978,0783
1624,9059
32204,1577
1661,63
2139,7728
2372,5576
2811,89
2181,8818
2217,931
2498,1855
2470,6389
1728,8585
2129,8397
1842,3825
3543,9377
1788,0765
2032,0801
982,5202
2027,9932
2258,7483
3202,3379
940,1917
2492,5417
2696,3293
2318,4107
2072,8408
1783,3143
1404,5418
1448,58
33204,8053
1974,4738
2525,6797
2607,9652
3728,9806
1769,9717
1861,5189
1474,8114
64237,2808
3662,129
2438,6299
3111,8011
2858,4753
2100,3495
2355,4668
5001,3862
32255,3629
2035,7309
2525,7377
31621,9012
2270,7907
6549,2972
1779,4213
3900,0656
2645,7031
2451,2339
2426,4857
3401,6468
2238,5704
3178,4256
3126,4843
1462,6523
2042,8055
2372,6857
2367,7483
1997,0788
2310,9476
3937,547
1700,5457
3962,4371
2648,8904
1788,8002
4537,1271
2400,8735
2642,0597
1328,3201
2059,4139
1725,0385
1370,6776
1770,6303
2143,1787
2555,8692
2428,315
2466,2639
2856,6081
3071,956
31902,6537
2338,1063
2804,2712
2441,7379
4198,7822
2200,9244
32649,7493
1613,972
2130,0308
2818,5757
1955,0483
1360,7902
2153,9067
2473,9847
11768,3505
2718,7867
3141,4347
2697,1776
2689,7622
1947,2015
1742,1406
1463,542
2106,2653
49595,3881
1733,075
2244,1886
32698,1519
2879,8448
3926,9751
4087,3626
2112,1232
1915,0202
